,lab,subid,trial_type,stimulus,trial_num,looking_time,total_trial_time,trial_error,notes
13,childlab-manchester,mb21,IDS,IDS6,12,0,2.002,error,did not run calibration before study but seemed to be mostly fine (slightly lower on the screen)
14,childlab-manchester,mb21,IDS,IDS7,13,0,2,error,"No Looking, did not run calibration before study but seemed to be mostly fine (slightly lower on the screen)"
15,childlab-manchester,mb21,ADS,ADS7,14,0,2.002,error,did not run calibration before study but seemed to be mostly fine (slightly lower on the screen)
16,childlab-manchester,mb21,ADS,ADS8,15,0,2,error,"No Looking, did not run calibration before study but seemed to be mostly fine (slightly lower on the screen)"
17,childlab-manchester,mb21,IDS,IDS8,16,0,2.002,error,did not run calibration before study but seemed to be mostly fine (slightly lower on the screen)
0,childlab-manchester,mb22,training,train1,-2,12.318,18.006,noerror,
1,childlab-manchester,mb22,training,train2,-1,7.378,10.822,noerror,
2,childlab-manchester,mb22,ADS,ADS1,1,15.334,18.012,noerror,
3,childlab-manchester,mb22,IDS,IDS1,2,6.182,8.404,noerror,
4,childlab-manchester,mb22,ADS,ADS2,3,3.328,6.114,noerror,
5,childlab-manchester,mb22,IDS,IDS2,4,0.324,2.504,noerror,
6,childlab-manchester,mb22,IDS,IDS3,5,0.886,4.872,noerror,
7,childlab-manchester,mb22,ADS,ADS3,6,0,2.002,noerror,
8,childlab-manchester,mb22,ADS,ADS4,7,0.856,2.856,noerror,
9,childlab-manchester,mb22,IDS,IDS4,8,1.8,4.59,noerror,
10,childlab-manchester,mb22,IDS,IDS5,9,1.248,3.98,noerror,
11,childlab-manchester,mb22,ADS,ADS5,10,2.33,4.356,noerror,
12,childlab-manchester,mb22,IDS,IDS6,11,1.44,3.444,noerror,
13,childlab-manchester,mb22,ADS,ADS6,12,2.15,4.154,noerror,
14,childlab-manchester,mb22,ADS,ADS7,13,1.55,3.552,noerror,
15,childlab-manchester,mb22,IDS,IDS7,14,1.448,4.152,noerror,
16,childlab-manchester,mb22,IDS,IDS8,15,0.768,7.65,error,screaming
17,childlab-manchester,mb22,NA,NA,16,NC,NC,error,aborted experiment
0,childlab-manchester,mb23,training,train1,-2,0,2.002,noerror,
1,childlab-manchester,mb23,training,train2,-1,3.004,5.006,noerror,
2,childlab-manchester,mb23,IDS,IDS5,1,3.822,6.19,noerror,
3,childlab-manchester,mb23,ADS,ADS5,2,3.318,6.284,noerror,
4,childlab-manchester,mb23,ADS,ADS7,3,0.426,2.428,noerror,
5,childlab-manchester,mb23,IDS,IDS7,4,0,2,noerror,
6,childlab-manchester,mb23,ADS,ADS1,5,9.984,14.628,noerror,
7,childlab-manchester,mb23,IDS,IDS1,6,3.594,5.594,noerror,
8,childlab-manchester,mb23,ADS,ADS3,7,8.7,11.552,noerror,
9,childlab-manchester,mb23,IDS,IDS3,8,2.268,4.268,noerror,
10,childlab-manchester,mb23,ADS,ADS2,9,4.554,6.562,noerror,
11,childlab-manchester,mb23,IDS,IDS2,10,6.252,8.364,noerror,
12,childlab-manchester,mb23,IDS,IDS4,11,1.996,4.586,noerror,
13,childlab-manchester,mb23,ADS,ADS4,12,3.72,4.898,noerror,
14,childlab-manchester,mb23,IDS,IDS6,13,1.214,3.216,noerror,
15,childlab-manchester,mb23,ADS,ADS6,14,1.63,3.63,noerror,
16,childlab-manchester,mb23,IDS,IDS8,15,0.998,4.514,noerror,
17,childlab-manchester,mb23,ADS,ADS8,16,3.852,6.202,noerror,
0,childlab-manchester,mb24,training,train1,-2,NC,NC,error,eye tracker problem
1,childlab-manchester,mb24,training,train2,-1,NC,NC,error,eye tracker problem
2,childlab-manchester,mb24,ADS,ADS5,1,13.914,17.876,noerror,
3,childlab-manchester,mb24,IDS,IDS5,2,7.538,10.16,noerror,
4,childlab-manchester,mb24,IDS,IDS7,3,3.142,5.618,noerror,
5,childlab-manchester,mb24,ADS,ADS7,4,5.982,8.276,noerror,
6,childlab-manchester,mb24,IDS,IDS1,5,1.64,3.64,noerror,
7,childlab-manchester,mb24,ADS,ADS1,6,0.442,2.518,noerror,
8,childlab-manchester,mb24,IDS,IDS3,7,3.422,5.428,noerror,
9,childlab-manchester,mb24,ADS,ADS3,8,1.364,3.364,error,started screaming
10,childlab-manchester,mb24,NA,NA,9,NC,NC,error,aborted experiment
11,childlab-manchester,mb24,NA,NA,10,NC,NC,error,aborted experiment
12,childlab-manchester,mb24,NA,NA,11,NC,NC,error,aborted experiment
13,childlab-manchester,mb24,NA,NA,12,NC,NC,error,aborted experiment
14,childlab-manchester,mb24,NA,NA,13,NC,NC,error,aborted experiment
15,childlab-manchester,mb24,NA,NA,14,NC,NC,error,aborted experiment
16,childlab-manchester,mb24,NA,NA,15,NC,NC,error,aborted experiment
17,childlab-manchester,mb24,NA,NA,16,NC,NC,error,aborted experiment
0,childlab-manchester,mb25,training,train1,-2,0,2,noerror,No Looking
1,childlab-manchester,mb25,training,train2,-1,3.204,7.392,noerror,
2,childlab-manchester,mb25,IDS,IDS1,1,0.072,2.072,noerror,
3,childlab-manchester,mb25,ADS,ADS1,2,2.53,6.366,noerror,
4,childlab-manchester,mb25,IDS,IDS2,3,5.168,13.716,noerror,
5,childlab-manchester,mb25,ADS,ADS2,4,0,2.002,noerror,
6,childlab-manchester,mb25,NA,NA,5,NC,NC,error,aborted trial to adjust eye tracker
7,childlab-manchester,mb25,IDS,IDS3,6,1.862,7.562,noerror,
8,childlab-manchester,mb25,IDS,IDS4,7,2.646,4.646,noerror,
9,childlab-manchester,mb25,ADS,ADS4,8,0,2,noerror,No Looking
10,childlab-manchester,mb25,ADS,ADS5,9,0,2,noerror,No Looking
11,childlab-manchester,mb25,IDS,IDS5,10,0,2,noerror,No Looking
12,childlab-manchester,mb25,ADS,ADS6,11,0,2,noerror,No Looking
13,childlab-manchester,mb25,IDS,IDS6,12,1.67,5.532,error,fussy
14,childlab-manchester,mb25,IDS,IDS7,13,1.694,4.608,error,fussy
15,childlab-manchester,mb25,ADS,ADS7,14,0,2,error,"No Looking, fussy"
16,childlab-manchester,mb25,NA,NA,15,NC,NC,error,aborted experiment
17,childlab-manchester,mb25,NA,NA,16,NC,NC,error,aborted experiment
0,childlab-manchester,mb26,training,train1,-2,9.9,13.042,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study
1,childlab-manchester,mb26,training,train2,-1,4.078,6.644,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study
2,childlab-manchester,mb26,ADS,ADS1,1,0.368,2.424,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study
3,childlab-manchester,mb26,IDS,IDS1,2,0.574,2.574,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study
4,childlab-manchester,mb26,ADS,ADS2,3,1.398,3.402,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study
5,childlab-manchester,mb26,IDS,IDS2,4,0.982,4.452,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study
6,childlab-manchester,mb26,IDS,IDS3,5,0,2,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study. No Looking
7,childlab-manchester,mb26,ADS,ADS3,6,1.656,3.656,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study
8,childlab-manchester,mb26,ADS,ADS4,7,1.042,3.046,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study
9,childlab-manchester,mb26,IDS,IDS4,8,0,2,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study. No Looking
10,childlab-manchester,mb26,IDS,IDS5,9,1.458,9.494,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study
11,childlab-manchester,mb26,ADS,ADS5,10,4.944,18.006,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study
12,childlab-manchester,mb26,NA,NA,11,NC,NC,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study. Aborted study
13,childlab-manchester,mb26,NA,NA,12,NC,NC,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study. Aborted study
14,childlab-manchester,mb26,NA,NA,13,NC,NC,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study. Aborted study
15,childlab-manchester,mb26,NA,NA,14,NC,NC,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study. Aborted study
16,childlab-manchester,mb26,NA,NA,15,NC,NC,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study. Aborted study
17,childlab-manchester,mb26,NA,NA,16,NC,NC,error,poor eye tracking throughout.  Baby vigorously moving back and forth entire study. Aborted study
0,childlab-manchester,mb27,training,train1,-2,11.728,14.376,noerror,
1,childlab-manchester,mb27,training,train2,-1,0,2,noerror,No Looking
2,childlab-manchester,mb27,IDS,IDS5,1,0,2.004,noerror,
3,childlab-manchester,mb27,ADS,ADS5,2,0,2,noerror,No Looking
4,childlab-manchester,mb27,ADS,ADS7,3,0,2,noerror,No Looking
5,childlab-manchester,mb27,NA,NA,4,NC,NC,error,aborted trial to adjust eye tracker
6,childlab-manchester,mb27,NA,NA,5,NC,NC,error,aborted trial to adjust eye tracker
7,childlab-manchester,mb27,IDS,IDS1,6,0,2,noerror,No Looking
8,childlab-manchester,mb27,ADS,ADS3,7,0,2.002,noerror,
9,childlab-manchester,mb27,NA,NA,8,NC,NC,error,aborted trial to adjust eye tracker
10,childlab-manchester,mb27,ADS,ADS2,9,2.876,6.924,noerror,
11,childlab-manchester,mb27,NA,NA,10,NC,NC,error,aborted trial to adjust eye tracker
12,childlab-manchester,mb27,IDS,IDS4,11,10.198,14.778,noerror,
13,childlab-manchester,mb27,ADS,ADS4,12,7.526,9.652,noerror,
14,childlab-manchester,mb27,IDS,IDS6,13,0,2,noerror,No Looking
15,childlab-manchester,mb27,ADS,ADS6,14,0,2,noerror,No Looking
16,childlab-manchester,mb27,IDS,IDS8,15,10.82,16.342,noerror,
17,childlab-manchester,mb27,ADS,ADS8,16,2.074,7.254,noerror,
0,childlab-manchester,mb28,training,train1,-2,5.878,9.726,noerror,
1,childlab-manchester,mb28,training,train2,-1,5.466,8.024,noerror,
2,childlab-manchester,mb28,ADS,ADS5,1,11.732,14.44,noerror,
3,childlab-manchester,mb28,IDS,IDS5,2,2.85,4.852,noerror,
4,childlab-manchester,mb28,IDS,IDS7,3,1.414,3.414,noerror,
5,childlab-manchester,mb28,ADS,ADS7,4,0.774,2.774,noerror,
6,childlab-manchester,mb28,IDS,IDS1,5,3.072,5.072,noerror,
7,childlab-manchester,mb28,ADS,ADS1,6,1.108,3.108,noerror,
8,childlab-manchester,mb28,IDS,IDS3,7,1.03,3.232,noerror,
9,childlab-manchester,mb28,ADS,ADS3,8,3.664,6.818,noerror,
10,childlab-manchester,mb28,IDS,IDS2,9,2.206,6.832,noerror,
11,childlab-manchester,mb28,ADS,ADS2,10,1.698,7.878,noerror,
12,childlab-manchester,mb28,ADS,ADS4,11,2.05,5.562,noerror,
13,childlab-manchester,mb28,IDS,IDS4,12,0.438,2.438,noerror,
14,childlab-manchester,mb28,ADS,ADS6,13,0.092,2.096,noerror,
15,childlab-manchester,mb28,IDS,IDS6,14,1.396,3.396,noerror,
16,childlab-manchester,mb28,ADS,ADS8,15,0,2,noerror,No Looking
17,childlab-manchester,mb28,IDS,IDS8,16,0.744,2.822,noerror,
0,childlab-manchester,mb29,training,train1,-2,15.632,18.004,noerror,
1,childlab-manchester,mb29,training,train2,-1,4.06,6.064,noerror,
2,childlab-manchester,mb29,IDS,IDS1,1,13.294,15.294,noerror,
3,childlab-manchester,mb29,ADS,ADS1,2,3.44,5.44,noerror,
4,childlab-manchester,mb29,IDS,IDS2,3,2.182,4.184,noerror,
5,childlab-manchester,mb29,ADS,ADS2,4,2.936,4.936,noerror,
6,childlab-manchester,mb29,ADS,ADS3,5,17.156,18.008,noerror,
7,childlab-manchester,mb29,IDS,IDS3,6,3.768,5.768,noerror,
8,childlab-manchester,mb29,IDS,IDS4,7,11.766,13.984,noerror,
9,childlab-manchester,mb29,ADS,ADS4,8,14.454,16.882,noerror,
10,childlab-manchester,mb29,ADS,ADS5,9,2.668,4.744,noerror,
11,childlab-manchester,mb29,IDS,IDS5,10,4.746,8.794,noerror,
12,childlab-manchester,mb29,ADS,ADS6,11,1.632,3.632,noerror,
13,childlab-manchester,mb29,IDS,IDS6,12,4.14,7.502,noerror,
14,childlab-manchester,mb29,IDS,IDS7,13,5.53,10.724,noerror,
15,childlab-manchester,mb29,ADS,ADS7,14,17.832,18.012,noerror,
16,childlab-manchester,mb29,ADS,ADS8,15,5.098,7.098,noerror,
17,childlab-manchester,mb29,IDS,IDS8,16,5.65,7.65,noerror,
0,childlab-manchester,mb30,training,train1,-2,13.464,18.01,noerror,
1,childlab-manchester,mb30,training,train2,-1,7.128,18.006,noerror,
2,childlab-manchester,mb30,ADS,ADS1,1,10.602,18.01,noerror,
3,childlab-manchester,mb30,IDS,IDS1,2,8.404,13.766,noerror,
4,childlab-manchester,mb30,ADS,ADS2,3,14.098,18.01,noerror,
5,childlab-manchester,mb30,IDS,IDS2,4,4.624,8.582,noerror,
6,childlab-manchester,mb30,IDS,IDS3,5,9.946,18.01,noerror,
7,childlab-manchester,mb30,ADS,ADS3,6,3.386,5.388,noerror,
8,childlab-manchester,mb30,ADS,ADS4,7,5.784,12.438,noerror,
9,childlab-manchester,mb30,IDS,IDS4,8,5.886,7.886,noerror,
10,childlab-manchester,mb30,IDS,IDS5,9,13,18.004,noerror,
11,childlab-manchester,mb30,ADS,ADS5,10,6.362,8.776,noerror,
12,childlab-manchester,mb30,IDS,IDS6,11,1.932,4.996,noerror,
13,childlab-manchester,mb30,ADS,ADS6,12,4.328,7.474,noerror,
14,childlab-manchester,mb30,ADS,ADS7,13,4.292,9.81,noerror,
15,childlab-manchester,mb30,IDS,IDS7,14,4.818,7.76,noerror,
16,childlab-manchester,mb30,IDS,IDS8,15,4.836,8.406,noerror,
17,childlab-manchester,mb30,ADS,ADS8,16,10.328,13.06,noerror,
0,childlab-manchester,mb31,training,train1,-2,9.07,13.282,noerror,
1,childlab-manchester,mb31,training,train2,-1,NC,NC,noerror,
2,childlab-manchester,mb31,IDS,IDS5,1,15.484,18.006,noerror,
3,childlab-manchester,mb31,ADS,ADS5,2,10.35,15.056,noerror,
4,childlab-manchester,mb31,ADS,ADS7,3,4.708,8.142,noerror,
5,childlab-manchester,mb31,IDS,IDS7,4,3.83,6.51,error,fussy
6,childlab-manchester,mb31,NA,NA,5,NC,NC,error,aborted experiment
7,childlab-manchester,mb31,NA,NA,6,NC,NC,error,aborted experiment
8,childlab-manchester,mb31,NA,NA,7,NC,NC,error,aborted experiment
9,childlab-manchester,mb31,NA,NA,8,NC,NC,error,aborted experiment
10,childlab-manchester,mb31,NA,NA,9,NC,NC,error,aborted experiment
11,childlab-manchester,mb31,NA,NA,10,NC,NC,error,aborted experiment
12,childlab-manchester,mb31,NA,NA,11,NC,NC,error,aborted experiment
13,childlab-manchester,mb31,NA,NA,12,NC,NC,error,aborted experiment
14,childlab-manchester,mb31,NA,NA,13,NC,NC,error,aborted experiment
15,childlab-manchester,mb31,NA,NA,14,NC,NC,error,aborted experiment
16,childlab-manchester,mb31,NA,NA,15,NC,NC,error,aborted experiment
17,childlab-manchester,mb31,NA,NA,16,NC,NC,error,aborted experiment
